composition,glass formation ability
Al,FALSE
Al(NiB)2,TRUE
Al10Co21B19,TRUE
Al10Co23B17,TRUE
Al10Co27B13,TRUE
Al10Co29B11,FALSE
Al10Co31B9,FALSE
Al10Co33B7,FALSE
Al10Cr3Si7,TRUE
Al10Fe23B17,TRUE
Al10Fe27B13,TRUE
Al10Fe31B9,TRUE
Al10Fe33B7,TRUE
Al10Ni23B17,TRUE
Al10Ni27B13,TRUE
Al10Ni29B11,TRUE
Al10Ni31B9,TRUE
Al10Ni33B7,FALSE
Al10V3Ge7,FALSE
Al11(CrSi2)3,TRUE
Al11(VGe2)3,TRUE
Al11Cr2Si7,TRUE
Al11Cr4Si5,FALSE
Al11Cr5Si4,FALSE
Al11V2Cu7,TRUE
Al11V2Ge7,TRUE
Al11V4Ge5,FALSE
Al12Co21B17,TRUE
Al12Co25B13,TRUE
Al12Co27B11,FALSE
Al12Cr3Si5,TRUE
Al12Cr5Si3,FALSE
Al12CrSi7,FALSE
Al12Ni25B13,TRUE
Al12Ni27B11,FALSE
Al12Ni29B9,FALSE
Al12Ni31B7,FALSE
Al12V3Cu5,FALSE
Al12V3Ge5,TRUE
Al12VCu7,FALSE
Al12VGe7,FALSE
Al13Cr2Si5,TRUE
Al13Cr3Si4,FALSE
Al13Cr4Ge3,FALSE
Al13Cr4Si3,FALSE
Al13Cr5Si2,FALSE
Al13Fe3Ni4,FALSE
Al13Fe4Cu3,TRUE
Al13Ni6Mo,TRUE
Al13Si4Ni3,TRUE
Al13V2Cu5,TRUE
Al13V2Ge5,TRUE
Al13V3Cu4,TRUE
Al13V3Ge4,FALSE
Al13V4Cu3,FALSE
Al13VCu6,TRUE
Al13VGe6,FALSE
Al14(CrSi)3,FALSE
Al14(FeNi)3,TRUE
Al14(Ni7B5)3,FALSE
Al14(SiNi)3,TRUE
Al14Cr5Si,FALSE
Al14CrSi5,FALSE
Al14Ni25B11,FALSE
Al14Ni5Mo,TRUE
Al14VCu5,FALSE
Al14VGe5,FALSE
Al15Co2Si3,TRUE
Al15Cr2Si3,FALSE
Al15Cr3Si2,FALSE
Al15Cr4Si,FALSE
Al15CrSi4,FALSE
Al15Ni3Mo2,TRUE
Al15Ni4Mo,TRUE
Al15V2Cu3,TRUE
Al15V2Ge3,FALSE
Al15V3Cu2,FALSE
Al15VCu4,TRUE
Al16CrSi3,FALSE
Al16Ni3Mo,TRUE
Al16V3Cu,FALSE
Al16VCu3,TRUE
Al17Co2Ni,FALSE
Al17CoNi2,FALSE
Al17Cr2Si,FALSE
Al17Cr3,FALSE
Al17CrSi2,FALSE
Al17FeNi2,FALSE
Al17Ni2Mo,TRUE
Al17V2Cu,TRUE
Al18CoNi,FALSE
Al18CrSi,FALSE
Al18FeCu,TRUE
Al18FeNi,FALSE
Al19Cr5Ge26,TRUE
Al2(Co11B5)3,TRUE
Al2(Co13B3)3,TRUE
Al2(Fe13B3)3,TRUE
Al2(Ni11B5)3,TRUE
Al2(Ni13B3)3,TRUE
Al2(Ni9B7)3,TRUE
Al21(CoNi)2,FALSE
Al21(FeNi)2,TRUE
Al21Co5Ge24,TRUE
Al21Cr4,FALSE
Al21Fe5Ge24,TRUE
Al21FeCo3,FALSE
Al21FeNi3,FALSE
Al22Co2Ni,FALSE
Al22Co3,FALSE
Al22CoNi2,TRUE
Al22Cr3,FALSE
Al22Fe2Co,FALSE
Al22Fe2Ni,FALSE
Al22Fe3,FALSE
Al22FeCo2,FALSE
Al22FeNi2,FALSE
Al22Ni3,FALSE
Al23Co2,FALSE
Al23CoNi,FALSE
Al23Cr2,FALSE
Al23Fe2,FALSE
Al23FeCo,FALSE
Al23FeNi,FALSE
Al23Ni2,FALSE
Al24Co,FALSE
Al24Cr,FALSE
Al24Fe,FALSE
Al24Ni,FALSE
Al26Cr5Si19,TRUE
Al26V5Ge19,TRUE
Al27Mo23,TRUE
Al29Cr10Si11,FALSE
Al2Co31B17,TRUE
Al2Co35B13,TRUE
Al2Co37B11,TRUE
Al2Co41B7,FALSE
Al2Co43B5,FALSE
Al2Co5B3,TRUE
Al2Co7B,FALSE
Al2Cu3,FALSE
Al2Fe37B11,TRUE
Al2Fe41B7,TRUE
Al2Fe43B5,FALSE
Al2Fe5B3,TRUE
Al2Ni29B19,TRUE
Al2Ni31B17,TRUE
Al2Ni35B13,TRUE
Al2Ni37B11,TRUE
Al2Ni5B3,TRUE
Al2VGe,FALSE
Al30Cr9Si11,FALSE
Al32Ni5Ge13,TRUE
Al33Mo17,TRUE
Al33Si12Ni5,TRUE
Al34(Si7Mo15)3,TRUE
Al34Cr5Si11,TRUE
Al34V5Ge11,TRUE
Al35Fe7Cu8,FALSE
Al35Fe7Ni8,TRUE
Al35Fe8Ni7,TRUE
Al36(FeNi)7,TRUE
Al39Co5Ge6,TRUE
Al39Fe5Ge6,TRUE
Al3CrSi,FALSE
Al3Cu,FALSE
Al3Cu2,FALSE
Al3Fe80P17,TRUE
Al3VGe,FALSE
Al41Fe2Ni7,FALSE
Al42Fe3Ni5,FALSE
Al42Fe7Si,FALSE
Al42FeCo7,FALSE
Al42FeNi7,FALSE
Al43Co7,FALSE
Al43CoNi6,FALSE
Al43Cr7,FALSE
Al43Fe2Co5,FALSE
Al43Fe2Ni5,FALSE
Al43Fe3Co4,FALSE
Al43Fe3Ni4,FALSE
Al43Fe4Co3,FALSE
Al43Fe4Ni3,FALSE
Al43Fe5Co2,FALSE
Al43Fe5Ni2,FALSE
Al43Fe6Ni,FALSE
Al43Fe6Si,FALSE
Al43FeCo6,TRUE
Al43FeNi6,TRUE
Al43Ni7,FALSE
Al44(CoNi)3,FALSE
Al44(FeCo)3,FALSE
Al44(FeNi)3,FALSE
Al44Co5Ni,FALSE
Al44CoNi5,FALSE
Al44Cr5Si,FALSE
Al44Fe5Co,FALSE
Al44Fe5Ni,FALSE
Al44Fe5Si,FALSE
Al44FeCo5,FALSE
Al44FeNi5,FALSE
Al45Co2Ni3,FALSE
Al45Co3Ni2,FALSE
Al45Co4Ni,FALSE
Al45CoNi4,FALSE
Al45Fe2Co3,FALSE
Al45Fe2Ni3,FALSE
Al45Fe3Co2,FALSE
Al45Fe3Ni2,FALSE
Al45Fe4Co,FALSE
Al45Fe4Ni,FALSE
Al45Fe4Si,FALSE
Al45FeCo4,FALSE
Al45FeNi4,FALSE
Al46Co3Ni,FALSE
Al46CoNi3,FALSE
Al46Fe3Co,FALSE
Al46Fe3Ni,FALSE
Al46FeCo3,FALSE
Al46FeNi3,FALSE
Al47Co2Ni,FALSE
Al47Co3,FALSE
Al47CoNi2,FALSE
Al47Cr3,FALSE
Al47Fe2Co,FALSE
Al47Fe2Ni,FALSE
Al47Fe3,FALSE
Al47FeCo2,FALSE
Al47FeNi2,FALSE
Al47Ni3,FALSE
Al48CoNi,FALSE
Al48FeCo,FALSE
Al48FeNi,FALSE
Al49Co,FALSE
Al49Co10Si41,TRUE
Al49Fe,FALSE
Al49Ni,FALSE
Al4Co29B17,TRUE
Al4Co31B15,TRUE
Al4Co33B13,TRUE
Al4Co35B11,TRUE
Al4Co37B9,TRUE
Al4Co39B7,FALSE
Al4Co41B5,FALSE
Al4Cr,FALSE
Al4Cu,FALSE
Al4Fe35B11,TRUE
Al4Fe37B9,TRUE
Al4Fe39B7,TRUE
Al4Fe41B5,FALSE
Al4Ni,FALSE
Al4Ni25B21,TRUE
Al4Ni27B19,TRUE
Al4Ni29B17,TRUE
Al4Ni31B15,TRUE
Al4Ni33B13,TRUE
Al4Ni35B11,TRUE
Al4Ni37B9,TRUE
Al52Co23Si25,TRUE
Al52Fe23Ge25,TRUE
Al52Fe23Si25,TRUE
Al52Si25Ni23,TRUE
Al53Si16Mo31,TRUE
Al57Co18Ge25,TRUE
Al57Cr23Si20,FALSE
Al57Cr28Si15,FALSE
Al57Fe27Ni16,FALSE
Al57V18Ge25,TRUE
Al58Cr17Si25,TRUE
Al59Cr19Si22,FALSE
Al59Ni10Ge31,TRUE
Al5Fe2Cu3,FALSE
Al5V2Ge3,FALSE
Al5VCu4,FALSE
Al5VGe4,FALSE
Al6(Co3B)11,TRUE
Al6(Fe3B)11,TRUE
Al6(Ni3B)11,TRUE
Al61(Cr7Si6)3,FALSE
Al61Cr10Ge29,TRUE
Al62(CrSi)19,FALSE
Al62.5Fe12.5Cu25,FALSE
Al62Fe17Cu21,FALSE
Al62Ni13Ge25,TRUE
Al63Cr15Si22,FALSE
Al63Cr19Si18,FALSE
Al63Fe12Si25,TRUE
Al63Si6Mo31,TRUE
Al64Fe13Cu23,FALSE
Al65(Fe3Ni2)7,FALSE
Al65Si17.5Ni17.5,TRUE
Al65Si19Ni16,TRUE
Al66.5Si18.5Ni15,TRUE
Al67(Fe7Ni4)3,FALSE
Al67.5Si17.5Ni15,TRUE
Al67V13Cu20,TRUE
Al68Cr15Si17,FALSE
Al69Co6Ge25,TRUE
Al69Fe13Cu18,FALSE
Al69Fe6Ge25,TRUE
Al69Ni6Ge25,TRUE
Al69V6Ge25,TRUE
Al6Co25B19,TRUE
Al6Co27B17,TRUE
Al6Co29B15,TRUE
Al6Co31B13,TRUE
Al6Co35B9,TRUE
Al6Co37B7,FALSE
Al6Co39B5,FALSE
Al6Co41B3,FALSE
Al6Co9B10,TRUE
Al6Cr3Si,FALSE
Al6CrGe3,TRUE
Al6CrSi3,TRUE
Al6Fe37B7,TRUE
Al6Fe39B5,FALSE
Al6Fe41B3,FALSE
Al6Ni27B17,TRUE
Al6Ni29B15,TRUE
Al6Ni31B13,TRUE
Al6Ni35B9,TRUE
Al6Ni37B7,FALSE
Al6NiGe3,TRUE
Al6VCu3,TRUE
Al6VGe3,TRUE
Al70Si17Ni13,TRUE
Al71Co4Si25,TRUE
Al71Cr4Si25,TRUE
Al71Fe15Cu14,TRUE
Al71Si25Ni4,TRUE
Al72Fe13Ni15,FALSE
Al73Fe13Cu14,FALSE
Al75Fe14Ni11,TRUE
Al77V3Cu20,FALSE
Al78Fe7Cu15,FALSE
Al79(FeNi2)7,TRUE
Al79Si11Ni10,TRUE
Al7Cr2Si,FALSE
Al7CrSi2,FALSE
Al7Cu3,FALSE
Al7Fe2Ni,TRUE
Al7Ni18,FALSE
Al7Ni2Mo,TRUE
Al7Ni3,FALSE
Al7VCu2,TRUE
Al7VGe2,FALSE
Al8(Co11B3)3,TRUE
Al8(Co5B)7,TRUE
Al8(Co9B5)3,TRUE
Al8(Fe11B3)3,TRUE
Al8(Fe5B)7,TRUE
Al8(Ni11B3)3,TRUE
Al8(Ni5B)7,FALSE
Al8(Ni9B5)3,TRUE
Al81Cr19,FALSE
Al82(Fe5Ni)3,TRUE
Al83Cr17,FALSE
Al83Fe3Ni14,FALSE
Al84Fe3Ni13,FALSE
Al85(FeNi4)3,FALSE
Al85(Ni4Mo)3,TRUE
Al85CoNi14,FALSE
Al85Fe2Ni13,FALSE
Al85Fe8Si7,FALSE
Al85FeNi14,FALSE
Al86(FeNi)7,FALSE
Al86.7Fe1Ni12.3,TRUE
Al86Co3Ni11,FALSE
Al86Co5Ni9,FALSE
Al86CoNi13,FALSE
Al86Fe3Ni11,TRUE
Al86Fe5Ni9,FALSE
Al86FeNi13,FALSE
Al87.5Fe0.5Ni12,TRUE
Al87.5Fe2Ni10.5,TRUE
Al87.5Fe3.5Ni9,TRUE
Al87Co2Ni11,TRUE
Al87Co3Ni10,FALSE
Al87Co4Ni9,FALSE
Al87Co5Ni8,FALSE
Al87CoNi12,TRUE
Al87Fe2Co11,TRUE
Al87Fe2Ni11,TRUE
Al87Fe3Ni10,TRUE
Al87Fe4Co9,FALSE
Al87Fe4Ni9,FALSE
Al87Fe5Ni8,FALSE
Al87Fe6Ni7,FALSE
Al87FeNi12,TRUE
Al87V5Cu8,FALSE
Al87V8Cu5,FALSE
Al88(Co3Ni)3,FALSE
Al88(CoNi3)3,FALSE
Al88(FeNi3)3,TRUE
Al88.5Fe3Ni8.5,TRUE
Al88Co11Ni,FALSE
Al88Co5Ni7,TRUE
Al88Co7Ni5,FALSE
Al88CoNi11,FALSE
Al88Fe5Ni7,FALSE
Al88FeNi11,TRUE
Al89Co2Ni9,FALSE
Al89Co3Ni8,FALSE
Al89Co4Ni7,FALSE
Al89Co5Ni6,FALSE
Al89Co6Ni5,FALSE
Al89CoNi10,FALSE
Al89Fe2Ni9,FALSE
Al89Fe3Ni8,FALSE
Al89Fe4Ni7,FALSE
Al89Fe5Ni6,FALSE
Al89Fe6Ni5,FALSE
Al89Fe7Ni4,FALSE
Al89Fe9Ni2,FALSE
Al89FeNi10,FALSE
Al8Co25B17,TRUE
Al8Co29B13,TRUE
Al8Co31B11,TRUE
Al8Co37B5,FALSE
Al8CrSi,FALSE
Al8Fe29B13,TRUE
Al8Fe31B11,TRUE
Al8Fe37B5,FALSE
Al8Ni23B19,TRUE
Al8Ni25B17,TRUE
Al8Ni29B13,TRUE
Al8Ni31B11,TRUE
Al8VCu,TRUE
Al90FeNi9,FALSE
Al91(Fe2Ni)3,FALSE
Al91(FeNi2)3,FALSE
Al91Co2Ni7,FALSE
Al91CoNi8,FALSE
Al91Fe2Ni7,FALSE
Al91FeNi8,FALSE
Al92Fe5Ni3,FALSE
Al9Co,FALSE
Al9Cr,FALSE
Al9Cr3Si8,FALSE
Al9Cr4Si7,FALSE
Al9Fe,FALSE
Al9Ni,FALSE
Al9V3Ge8,FALSE
AlCu,FALSE
AlFe17Si2,TRUE
B12Mo23Ru15,TRUE
B15(Mo3Ru2)17,TRUE
B3Mo17,FALSE
B3Mo7,FALSE
B5(Mo3Rh7)2,TRUE
B8Mo55.5Ru36.5,TRUE
BMo3,FALSE
BMo4,FALSE
BMo8P,TRUE
BMo9,FALSE
Ba10La53.5Cu36.5,TRUE
Ba10La56.5Cu33.5,TRUE
Ba2(La9Cu7)3,TRUE
Ba2La11Cu7,TRUE
Ba2La13Cu10,TRUE
Ba2La59Cu39,TRUE
Ba2La71Cu27,TRUE
Ba3La56Cu41,TRUE
Ba3La57Cu40,TRUE
Ba4(La23Cu9)3,TRUE
Ba4.5La68Cu27.5,TRUE
Ba4La31Cu15,TRUE
Ba5La29Cu16,TRUE
Ba5La53Cu42,TRUE
Ba67La28Cu5,TRUE
Ba7.5La63.5Cu29,TRUE
Ba7La51.5Cu41.5,TRUE
Ba7La65Cu28,TRUE
Ba9(La4Cu3)13,TRUE
Ba9.5La52.5Cu38,TRUE
Ba9La60Cu31,TRUE
BaLa61Cu38,TRUE
Be2Fe7B,TRUE
Ca(La5Cu2)7,TRUE
Ca1.25Al88.75Ni10,FALSE
Ca1.5La71Cu27.5,TRUE
Ca10Al87.5Fe2.5,FALSE
Ca10Al87.5Ni2.5,FALSE
Ca11Al89,TRUE
Ca11Mg89,FALSE
Ca12Mg7Ga,TRUE
Ca14(MgAl)3,TRUE
Ca15Mg3Cu2,TRUE
Ca1La61.5Cu37.5,TRUE
Ca1La71.5Cu27.5,TRUE
Ca2.5Al87.5Ni10,FALSE
Ca2.5Al92.5Fe5,FALSE
Ca2.5Al92.5Ni5,FALSE
Ca2Al17Co,TRUE
Ca2Al17Cu,TRUE
Ca2Al17Fe,TRUE
Ca2Al17Ni,TRUE
Ca2Al17Zn,TRUE
Ca2La60.5Cu37.5,TRUE
Ca2Mg17Zn,TRUE
Ca2MgAl17,TRUE
Ca3Al2,TRUE
Ca3AlGa,TRUE
Ca3La59.5Cu37.5,TRUE
Ca3La68.5Cu28.5,TRUE
Ca3Mg2,TRUE
Ca3MgGa,TRUE
Ca4La58.5Cu37.5,TRUE
Ca4La67Cu29,TRUE
Ca5(Mg3Cu2)3,TRUE
Ca5La57.5Cu37.5,TRUE
Ca5Mg3Cu2,TRUE
Ca6.5La56.5Cu37,TRUE
Ca6Al3Ga,TRUE
Ca6AlGa3,TRUE
Ca6La63Cu31,TRUE
Ca6Mg3Ga,TRUE
Ca6MgGa3,TRUE
Ca7.5Al87.5Fe5,TRUE
Ca7.5Al87.5Ni5,TRUE
Ca7.5Al90Fe2.5,TRUE
Ca7.5Al90Ni2.5,TRUE
Ca7.5Al92.5,FALSE
Ca7.5La56.5Cu36,TRUE
Ca7.5Mg82.5Cu10,TRUE
Ca7.5Mg82.5Zn10,FALSE
Ca7.5Mg87.5Cu5,TRUE
Ca7.5Mg87.5Zn5,FALSE
Ca7.5Mg92.5,FALSE
Ca70Mg7.5Al22.5,TRUE
Ca7Al3,TRUE
Ca7Cu3,TRUE
Ca7La61Cu32,TRUE
Ca7Mg2Cu,TRUE
Ca7Mg3,TRUE
Ca7MgCu2,TRUE
Ca8.5La56.5Cu35,TRUE
Ca8.5La58.5Cu33,TRUE
Ca8La59.5Cu32.5,TRUE
Ca9Al91,TRUE
Ca9La57.5Cu33.5,TRUE
CaAl17Ni2,FALSE
CaAl18Fe,FALSE
CaAl18Ni,FALSE
CaAl8Ni,FALSE
CaAl9,TRUE
CaLa13Cu6,TRUE
CaMg17Cu2,FALSE
CaMg17Zn2,FALSE
CaMg18Cu,FALSE
CaMg18Zn,FALSE
CaMg7Al2,TRUE
CaMg8Zn,TRUE
CaMg9,FALSE
Ce(Al2Ni)3,TRUE
Ce(Al6Fe)7,FALSE
Ce(Cu2Ag)3,TRUE
Ce(Cu7Ag5)2,TRUE
Ce(CuAg2)3,FALSE
Ce(Mg2Ni)3,TRUE
Ce(MgNi)2,FALSE
Ce10(Al29Cr)3,TRUE
Ce10Al61Ni29,TRUE
Ce10Al77Co13,FALSE
Ce10Al83Cr7,FALSE
Ce10Al89Ni,TRUE
Ce10Mn7Al83,FALSE
Ce10Nb13Al77,FALSE
Ce11Al5Ni4,TRUE
Ce11Al89,TRUE
Ce13Al85V2,FALSE
Ce13Al87,TRUE
Ce17Al71Fe12,FALSE
Ce18Al67Fe15,FALSE
Ce18Al77Fe5,FALSE
Ce2(Al5Co)3,FALSE
Ce2(Al5Cu)3,TRUE
Ce2(Al5Fe)3,FALSE
Ce2(Al5Ni)3,TRUE
Ce2(AlCu15)3,FALSE
Ce2(Mg5Cu)3,TRUE
Ce2(Mg5Ni)3,TRUE
Ce23Al60Fe17,FALSE
Ce23Al64Fe13,FALSE
Ce25.5Al62.5Fe12,FALSE
Ce25Al62.5Fe12.5,FALSE
Ce2Al17Co,TRUE
Ce2Al17Cr,TRUE
Ce2Al17Cu,TRUE
Ce2Al17Fe,TRUE
Ce2Al17Ni,TRUE
Ce2Al17V,FALSE
Ce2Al22V,FALSE
Ce2Al23,TRUE
Ce2Al2Cu21,TRUE
Ce2Al3Cu20,TRUE
Ce2Al43Ni5,TRUE
Ce2Al47Co,FALSE
Ce2Al47Fe,FALSE
Ce2Al5Cu43,FALSE
Ce2Al7Fe,FALSE
Ce2Al7Ni,FALSE
Ce2Al83Cu15,FALSE
Ce2Al93Cr5,FALSE
Ce2Al95Co3,FALSE
Ce2AlCu22,FALSE
Ce2Cu13Ag10,TRUE
Ce2Cu23Ag25,TRUE
Ce2Cu53Ag45,FALSE
Ce2Mg13Cu5,TRUE
Ce2Mg17Cu,FALSE
Ce2Mg17Ni,TRUE
Ce2Mg5Ni3,TRUE
Ce2Mg7Cu,FALSE
Ce2Mg7Ni,FALSE
Ce2Mn5Al93,FALSE
Ce2MnAl17,TRUE
Ce2NbAl17,TRUE
Ce3Al13Fe4,FALSE
Ce3Al13Ni4,TRUE
Ce3Al14Cu3,FALSE
Ce3Al14Fe3,FALSE
Ce3Al14Ni3,TRUE
Ce3Al15Co2,FALSE
Ce3Al15Cu2,FALSE
Ce3Al15Fe2,FALSE
Ce3Al16Co,FALSE
Ce3Al16Cr,FALSE
Ce3Al16Cu,FALSE
Ce3Al16Fe,FALSE
Ce3Al16Ni,FALSE
Ce3Al22,TRUE
Ce3Al3Cu44,FALSE
Ce3Al42Ni5,TRUE
Ce3Al43Ni4,TRUE
Ce3Al47,FALSE
Ce3Al4Cu43,FALSE
Ce3Al5Cu42,FALSE
Ce3Al6Cu41,FALSE
Ce3Al7Cu40,FALSE
Ce3Al90Co7,TRUE
Ce3Al90Fe7,TRUE
Ce3AlCu46,FALSE
Ce3Cu32Ag15,TRUE
Ce3Cu37Ag10,TRUE
Ce3Cu37Ag60,FALSE
Ce3Cu42Ag5,TRUE
Ce3Cu47Ag50,TRUE
Ce3Cu52Ag45,TRUE
Ce3Cu57Ag40,TRUE
Ce3Cu62Ag35,FALSE
Ce3Cu67Ag30,FALSE
Ce3Cu77Ag20,FALSE
Ce3Cu87Ag10,FALSE
Ce3Mg12Cu5,FALSE
Ce3Mg13Cu4,TRUE
Ce3Mg14Cu3,TRUE
Ce3Mg15Cu2,FALSE
Ce3Mg15Ni2,TRUE
Ce3Mg16Cu,FALSE
Ce3Mg4Ni3,FALSE
Ce3Mg85Zn12,TRUE
Ce3Nb2Al15,FALSE
Ce3NbAl16,FALSE
Ce3NbAl46,TRUE
Ce4(Cu17Ag15)3,TRUE
Ce4(Cu27Ag5)3,FALSE
Ce4Al13Fe3,FALSE
Ce4Al15Fe,FALSE
Ce4Al3Cu43,FALSE
Ce4Al41Ni5,TRUE
Ce4Al5Cu41,TRUE
Ce4Al7Cu39,FALSE
Ce4AlCu45,FALSE
Ce4Cu43Ag3,FALSE
Ce4Cu61Ag35,TRUE
Ce4Mg11Cu5,FALSE
Ce4Mg13Cu3,FALSE
Ce4Mg15Cu,FALSE
Ce4NbAl45,TRUE
Ce5(Al2Cu13)3,FALSE
Ce5(Al4Fe)3,FALSE
Ce5(AlCu14)3,TRUE
Ce5(Mg4Ni)9,TRUE
Ce5Al13Fe2,FALSE
Ce5Al2Cu43,FALSE
Ce5Al44Co,TRUE
Ce5Al44Cu,TRUE
Ce5Al44Fe,TRUE
Ce5Al44V,TRUE
Ce5Al4Cu41,TRUE
Ce5Al7Cu38,FALSE
Ce5Al83Co12,TRUE
Ce5Al87Ni8,TRUE
Ce5Al88Cu7,FALSE
Ce5Al91Ni4,TRUE
Ce5AlCu44,FALSE
Ce5Mn2Al43,TRUE
Ce5MnAl44,TRUE
Ce5NbAl44,TRUE
Ce6Al85Ni9,TRUE
Ce6Al87Ni7,TRUE
Ce6Al89V5,FALSE
Ce6Cu39Ag55,TRUE
Ce6Cu59Ag35,TRUE
Ce6Cu69Ag25,TRUE
Ce6Cu79Ag15,TRUE
Ce6Cu89Ag5,FALSE
Ce6Mn5Al89,FALSE
Ce7Al83Cu10,TRUE
Ce7Al83Fe10,TRUE
Ce7Al93,TRUE
Ce7Nb10Al83,TRUE
Ce8Al87Co5,TRUE
Ce8Al87Cr5,FALSE
Ce8Al87Cu5,TRUE
Ce8Al87Fe5,TRUE
Ce8Al89Cr3,FALSE
Ce8Cu37Ag55,TRUE
Ce8Cu87Ag5,FALSE
Ce8Mn5Al87,FALSE
Ce8Nb5Al87,TRUE
Ce9Al91,TRUE
CeAl13Ni6,TRUE
CeAl15Co4,FALSE
CeAl15Cu4,FALSE
CeAl15Ni4,TRUE
CeAl16Co3,TRUE
CeAl16Cu3,TRUE
CeAl16Ni3,TRUE
CeAl17Co2,TRUE
CeAl17Cu2,TRUE
CeAl17Fe2,TRUE
CeAl17Ni2,TRUE
CeAl18Co,TRUE
CeAl18Cu,FALSE
CeAl18Fe,TRUE
CeAl18Ni,FALSE
CeAl19,FALSE
CeAl3Fe,FALSE
CeAl3Ni,FALSE
CeAl44Co5,TRUE
CeAl44Cu5,FALSE
CeAl44Fe5,TRUE
CeAl44Ni5,TRUE
CeAl47Cr2,FALSE
CeAl47Fe2,FALSE
CeAl47V2,FALSE
CeAl5Cu44,FALSE
CeAl7Cu2,FALSE
CeAl7Fe2,FALSE
CeAl7Ni2,TRUE
CeAl89Fe10,FALSE
CeAl8Co,TRUE
CeAl8Cr,FALSE
CeAl8Cu,TRUE
CeAl8Fe,TRUE
CeAl8Ni,TRUE
CeAl8V,FALSE
CeAl9,TRUE
CeAlCu23,FALSE
CeAlCu8,FALSE
CeCu10Ag9,TRUE
CeCu11Ag8,TRUE
CeCu12Ag7,TRUE
CeCu13Ag6,FALSE
CeCu15Ag4,FALSE
CeCu17Ag2,FALSE
CeCu18Ag,FALSE
CeCu19Ag5,FALSE
CeCu24Ag25,FALSE
CeCu29Ag20,FALSE
CeCu2Ag7,FALSE
CeCu4Ag5,TRUE
CeCu59Ag40,FALSE
CeCu5Ag14,FALSE
CeCu5Ag4,TRUE
CeCu7Ag12,FALSE
CeCu7Ag2,TRUE
CeCu8Ag,TRUE
CeCu8Ag11,TRUE
CeCu9Ag10,TRUE
CeMg13Cu6,TRUE
CeMg14Cu5,TRUE
CeMg15Cu4,TRUE
CeMg15Ni4,TRUE
CeMg16Cu3,TRUE
CeMg17Cu2,TRUE
CeMg17Ni2,TRUE
CeMg18Cu,FALSE
CeMg18Ni,FALSE
CeMg2Cu,FALSE
CeMg3Cu,FALSE
CeMg3Ni,TRUE
CeMg7Cu2,TRUE
CeMg7Ni2,TRUE
CeMg8Cu,TRUE
CeMg8Ni,TRUE
CeMg9,FALSE
CeMn2Al17,FALSE
CeMn2Al47,FALSE
CeMn5Al44,FALSE
CeMnAl8,FALSE
CeNb2Al17,FALSE
CeNbAl18,FALSE
CeNbAl8,TRUE
Co,FALSE
Co1.7Si16.5Pd81.8,TRUE
Co10Ni68.5P21.5,FALSE
Co10Ni71P19,FALSE
Co10Ni73P17,FALSE
Co10Si16.5Pd73.5,TRUE
Co11Mo9C5,TRUE
Co12.5Ni66P21.5,FALSE
