composition,is metal?
Ag(AuS)2,TRUE
Ag(W3Br7)2,TRUE
Ag0.5Ge1Pb1.75S4,FALSE
Ag0.5Ge1Pb1.75Se4,FALSE
Ag2BBr,TRUE
Ag2BiO3,TRUE
Ag2GeS3,FALSE
Ag2GeSe3,FALSE
Ag2GeTe3,FALSE
Ag2HgI4,FALSE
Ag2Mo(I2O7)2,FALSE
Ag2O,FALSE
Ag2P2PbO7,TRUE
Ag2PdO2,FALSE
Ag2S,FALSE
Ag2SnS3,FALSE
Ag2SnSe3,FALSE
Ag3AsO4,TRUE
Ag3AsS3,FALSE
Ag3AsSe3,FALSE
Ag3Pd,TRUE
Ag3RuO4,TRUE
Ag3SbS3,FALSE
Ag5IO6,FALSE
Ag7(SI)2,TRUE
Ag7AsS6,FALSE
Ag7AsSe6,FALSE
Ag7NO11,TRUE
Ag8GeS6,FALSE
Ag8SnSe6,FALSE
Ag9(PbO3)4,TRUE
Ag9Ge2IO8,TRUE
AgAsS2,FALSE
AgAsSe2,FALSE
AgAu3,TRUE
AgBi(PS3)2,FALSE
AgBi(PSe3)2,FALSE
AgBiPbS3,FALSE
AgBiPbSe3,FALSE
AgBiS2,FALSE
AgBiSe2,FALSE
AgBr,FALSE
AgCNO,TRUE
AgCl,FALSE
AgF,FALSE
AgGeO3,TRUE
AgI,FALSE
AgN3,FALSE
AgO,FALSE
AgP15,FALSE
AgPd(IO3)3,FALSE
AgPdO2,TRUE
AgPt3,TRUE
AgS,FALSE
AgSO4,FALSE
AgSbS2,FALSE
AgSbSe2,FALSE
AgSbTe2,FALSE
AgTe,FALSE
AgTe2As,FALSE
Al(Ni10B7)2,TRUE
Al(NiS2)2,TRUE
Al0.01Cd0.99Sb0.01Te0.99,FALSE
Al0.01Ga0.99P1,FALSE
Al0.01In0.99P1,FALSE
Al0.05Cd0.95Sb0.05Te0.95,FALSE
Al0.15Ga0.85As1,FALSE
Al0.1Cd0.9Sb0.1Te0.9,FALSE
Al0.1In0.9P1,FALSE
Al0.2Ga0.8P1,FALSE
Al0.2In0.8P1,FALSE
Al0.35Ga0.65As1,FALSE
Al0.3Ga0.7As1,FALSE
Al0.3In0.7P1,FALSE
Al0.45Cd0.55Sb0.45Te0.55,FALSE
Al0.4Cd0.6Sb0.4Te0.6,FALSE
Al0.4Ga0.6P1,FALSE
Al0.4In0.6P1,FALSE
Al0.5Ga0.5As1,FALSE
Al0.5In0.5P1,FALSE
Al0.6Ga0.4As1,FALSE
Al0.6Ga0.4P1,FALSE
Al0.6In0.4P1,FALSE
Al0.75Ga0.25As1,FALSE
Al0.7In0.3P1,FALSE
Al0.8Ga0.2P1,FALSE
Al0.99Cd0.01Sb0.99Te0.01,FALSE
Al0.99Ga0.01P1,FALSE
Al0.99In0.01P1,FALSE
Al10V,TRUE
Al13Ru4,TRUE
Al2(CuSe2)3,TRUE
Al21Pt8,TRUE
Al2CoIr,TRUE
Al2Cr2O7,TRUE
Al2CrS4,TRUE
Al2Cu,TRUE
Al2FeNi,TRUE
Al2Ru,TRUE
Al2S3,FALSE
Al2Se3,FALSE
Al2Te3,FALSE
Al3Tc,TRUE
Al4Cu2O7,TRUE
Al4Cu9,TRUE
Al5Rh2,TRUE
Al6Fe,TRUE
Al6Ru,TRUE
Al6Tc,TRUE
Al7(CN)3,TRUE
Al9Co2,TRUE
Al9Ir2,TRUE
Al9Rh2,TRUE
AlAgO2,FALSE
AlAgS2,FALSE
AlAgSe2,FALSE
AlAgTe2,FALSE
AlAs,TRUE
AlB12,FALSE
AlB2,TRUE
AlBi,FALSE
AlCoO3,TRUE
AlCu3,TRUE
AlCu7O12,TRUE
AlCuS2,FALSE
AlCuSe2,FALSE
AlCuTe2,FALSE
AlFe2Si,TRUE
AlFe4(CuO4)3,TRUE
AlIr,TRUE
AlN,FALSE
AlNi2,TRUE
AlP,FALSE
AlPd5I2,TRUE
AlSb,FALSE
AlSn,TRUE
AlV(TeO4)2,FALSE
AlVCo2,TRUE
As2Ir,FALSE
As2O3,FALSE
As2Os,FALSE
As2Pt,FALSE
As2Rh,FALSE
As2Ru,FALSE
As2S3,FALSE
As2S5,FALSE
As2Se3,FALSE
AsAu3,TRUE
AsBr3,FALSE
AsI3,FALSE
AsOsS,FALSE
AsP,FALSE
AsPPd,FALSE
AsPPt,FALSE
AsPRu,FALSE
AsPd3Pb2,TRUE
AsRuS,FALSE
AsS,FALSE
AsS3,FALSE
AsSI,FALSE
AsSeBr,TRUE
AsSeI,FALSE
Au3S,TRUE
AuBrO2,TRUE
B2Mo(PbO2)6,FALSE
B2O3,FALSE
B2Se2O7,FALSE
B3H2Pb2O7.5,FALSE
B3Pb10Br3O13,FALSE
B3Pb3NO10,FALSE
B4C,FALSE
B4H2Pb6O13,FALSE
B4W,TRUE
B5Mo2,TRUE
B6As,FALSE
B6P,FALSE
BAs,FALSE
BH(PbO2)2,FALSE
BMo,TRUE
BP,FALSE
BPb2ClO3,FALSE
BPb6BrO7,FALSE
BPb7Br3O7,FALSE
BRh2,TRUE
BSb,FALSE
BSbPbS4,FALSE
BSe2Cl,TRUE
BTe2As,TRUE
Ba(AsPd)2,TRUE
Ba(AsRh)2,TRUE
Ba(BO2)2,FALSE
Ba(BRh)2,TRUE
Ba(FeS2)2,TRUE
Ba(GaS2)2,FALSE
Ba(GaSe2)2,FALSE
Ba(InS2)2,FALSE
Ba(InSe2)2,FALSE
Ba(NiP2)2,TRUE
Ba(PdO2)2,TRUE
Ba(SnO2)4,TRUE
Ba(ZnAs)2,FALSE
Ba1.88Ta15O32,FALSE
Ba12In4S19,FALSE
Ba14Ir8(PdO11)3,TRUE
Ba14Na8CaN6,TRUE
Ba23Ga8(SbS19)2,FALSE
Ba2B4H2O9,FALSE
Ba2B6H4O13,FALSE
Ba2B6O11,FALSE
Ba2BiSbO6,TRUE
Ba2CaOsO6,TRUE
Ba2CaReO6,TRUE
Ba2Cd(BO2)6,FALSE
Ba2Ce2O5,TRUE
Ba2CeInTe5,FALSE
Ba2CoWO6,TRUE
Ba2Cu5F14,TRUE
Ba2CuWO6,TRUE
Ba2DyCu3O7,TRUE
Ba2DyGaSe5,FALSE
Ba2DyGaTe5,FALSE
Ba2DyInSe5,FALSE
Ba2DyInTe5,FALSE
Ba2ErGaSe5,FALSE
Ba2ErGaTe5,FALSE
Ba2ErInSe5,FALSE
Ba2ErInTe5,FALSE
Ba2FeMoO6,TRUE
Ba2FeReO6,TRUE
Ba2Ga8GeS16,FALSE
Ba2Ga8SiS16,FALSE
Ba2GaAsSe5,FALSE
Ba2GaBiS5,FALSE
Ba2GaBiSe5,FALSE
Ba2GaBiTe5,FALSE
Ba2GaS4,FALSE
Ba2GaSbSe5,FALSE
Ba2GaSbTe5,FALSE
Ba2GaSe4,FALSE
Ba2GdGaSe5,FALSE
Ba2GdGaTe5,FALSE
Ba2GdInSe5,FALSE
Ba2GdInTe5,FALSE
Ba2HgS5,FALSE
Ba2In2S5,FALSE
Ba2In2Se5,FALSE
Ba2InAgS4,FALSE
Ba2InBiS5,FALSE
Ba2InSbSe5,FALSE
Ba2LaIrO6,TRUE
Ba2LiFe2N3,TRUE
Ba2NaCu3S5,FALSE
Ba2NdGaS5,FALSE
Ba2NdGaSe5,FALSE
Ba2NdInSe5,FALSE
Ba2NdInTe5,FALSE
Ba2ReNiO6,TRUE
Ba2Sb7HO14,FALSE
Ba2ScIrO6,TRUE
Ba2ScTaO6,FALSE
Ba2SmCu3O7,TRUE
Ba2SmGaSe5,FALSE
Ba2SmGaTe5,FALSE
Ba2SmInSe5,FALSE
Ba2SmInTe5,FALSE
Ba2SmTaO6,FALSE
Ba2SnSe4,FALSE
Ba2SnSe5,FALSE
Ba2TaInO6,FALSE
Ba2TbIrO6,TRUE
Ba2ThCu2Se5,FALSE
Ba2UCuO6,TRUE
Ba2V2Te2O11,FALSE
Ba2V2ZnO8,FALSE
Ba2V4(TeO6)3,FALSE
Ba2YGaSe5,FALSE
Ba2YGaTe5,FALSE
Ba2YInSe5,FALSE
Ba2YInTe5,FALSE
Ba2YReO6,TRUE
Ba2Yb(CuO2)4,TRUE
Ba2Zn0.2B2S5.2,FALSE
Ba2ZnSe3,FALSE
Ba2ZnTe3,FALSE
Ba3(AlGe)2,TRUE
Ba3(LiSn2)4,TRUE
Ba3Ag2(SnS4)2,FALSE
Ba3B1.5Sb0.5S6,FALSE
Ba3BSbS6,FALSE
Ba3BSbSe6,FALSE
Ba3Bi0.5B1.5S6,FALSE
Ba3Bi2TeO9,FALSE
Ba3CaIr2O9,TRUE
Ba3CaRu2O9,TRUE
Ba3Cd(SnS4)2,FALSE
Ba3Co10O17,TRUE
Ba3CrS5,TRUE
Ba3Dy2(PS4)4,FALSE
Ba3Er2(PS4)4,FALSE
Ba3ErRu2O9,TRUE
Ba3Eu(PO4)3,FALSE
Ba3FeS4Br,FALSE
Ba3Gd2(PS4)4,FALSE
Ba3GeS5,FALSE
Ba3Ho2(PS4)4,FALSE
Ba3In2(PO4)4,FALSE
Ba3InS4Cl,FALSE
Ba3La3(Cu3O7)2,FALSE
Ba3MgTa2O9,FALSE
Ba3N2,TRUE
Ba3NaIr2O9,TRUE
Ba3NaIrO6,TRUE
Ba3Nb2CoO9,TRUE
Ba3Nb2Se9,FALSE
Ba3P3ClO10,FALSE
Ba3PN,TRUE
Ba3Sb2S7,FALSE
Ba3Sn(SbSe4)2,FALSE
Ba3Sn0.87Bi2.13Se8,FALSE
Ba3Ta2Se9,FALSE
Ba3Ta2ZnO9,FALSE
Ba3Ta5NO14,FALSE
Ba3Tb2(PS4)4,FALSE
Ba3Te,TRUE
Ba3ThSe7,FALSE
Ba3V2(SeO4)4,FALSE
Ba3YIr2O9,TRUE
Ba3Yb4O9,TRUE
Ba3ZrRu2O9,TRUE
Ba4B11O20F,FALSE
Ba4Ga4GeSe12,FALSE
Ba4Ga4SnSe12,FALSE
Ba4Ga5AgS12,FALSE
Ba4Ga5CuS12,FALSE
Ba4Ga5CuSe12,FALSE
Ba4Ga5Si18,FALSE
Ba4Ge3S9Cl2,FALSE
Ba4Ge3Se9Cl2,FALSE
Ba4InAgSe6,FALSE
Ba4InCuSe6,FALSE
Ba4LiGa5Se12,FALSE
Ba4Nb14O23,TRUE
Ba4Sb3S8Cl,FALSE
Ba4Si20Au3,TRUE
Ba4Si3Se9Cl2,FALSE
Ba4Sm2Cu2O9,TRUE
Ba4Yb(CuO3)3,TRUE
Ba5(Ga2Se5)2,FALSE
Ba5(GaSe4)2,FALSE
Ba5Al2Ge7,TRUE
Ba5Bi3,TRUE
Ba5Cd(Ga2Se5)3,FALSE
Ba5Ga6GeP12,FALSE
Ba5Ga6SnP12,FALSE
Ba5Ge3,TRUE
Ba5In4Bi5,TRUE
Ba5In4Te4S7,FALSE
Ba5Sb3,TRUE
Ba5V3O12F,FALSE
Ba6Ag2.7Sn4.3S16,FALSE
Ba6Al4B14O33,FALSE
Ba6Ga2SnSe11,FALSE
Ba6In2NF,TRUE
Ba6Sn6Se13,FALSE
Ba7(SnS3)5,FALSE
Ba7B3O9F5,FALSE
Ba7Ga5AgS15,FALSE
Ba7Ru4Br2O15,TRUE
Ba8Al10B12O41,FALSE
Ba8Hg4Se7S5,FALSE
Ba8Sn4S15,FALSE
Ba8Ta7O24,TRUE
BaAg,TRUE
BaAg2,TRUE
BaAgSbS3,FALSE
BaAl2,TRUE
BaAl4Se7,FALSE
BaAlCu4O7,TRUE
BaAu(IO3)5,FALSE
BaAu2,TRUE
BaB6,FALSE
BaBClF4,FALSE
BaBSbS4,FALSE
BaBiClO2,FALSE
BaCaB2O5,FALSE
BaCaSn3,TRUE
BaCdSnS4,FALSE
BaCu2SnSe4,FALSE
BaCuSbS3,FALSE
BaCuSbSe3,FALSE
BaCuTeF,FALSE
BaDy2CuO5,TRUE
BaEu2Mn2O7,TRUE
BaF2,FALSE
BaGa2GeS6,FALSE
BaGa2GeSe6,FALSE
BaGa2SiS6,FALSE
BaGa2SiSe6,FALSE
BaGa2SnSe6,FALSE
BaGa4S7,FALSE
BaGa4Se7,FALSE
BaGe2,FALSE
BaGe3Pt,TRUE
BaGe4(IrS3)2,FALSE
BaGe4(IrSe3)2,FALSE
BaGe4(RhSe3)2,FALSE
BaHgS2,FALSE
BaHgSe2,FALSE
BaIn2(P2O7)2,FALSE
BaIn2Ir,TRUE
BaLa2CoS5,TRUE
BaLa2In2S7,FALSE
BaLa2In2Se7,FALSE
BaLa2Te5O14,FALSE
BaLi4,TRUE
BaMn4O7,TRUE
BaMn4ZnO8,TRUE
BaMnO3,TRUE
BaNa2GeS4,FALSE
BaNa2GeSe4,FALSE
BaNa2SnS4,FALSE
BaNa2SnSe4,FALSE
BaNaB5O9,FALSE
BaNb4O6,TRUE
BaO,FALSE
BaPd(IO3)4,FALSE
BaPdSe6,FALSE
BaPrO3,FALSE
BaPt5,TRUE
BaReH9,FALSE
BaS,FALSE
BaSe,FALSE
BaSi,TRUE
BaSi2,FALSE
BaSn2S5,FALSE
BaSn3,TRUE
BaSnO3,FALSE
BaTaNO2,FALSE
BaTbMn2O6,TRUE
BaTe,FALSE
BaTeMo2O9,FALSE
BaTh3,TRUE
BaTi14O28,TRUE
BaTi4O7,TRUE
BaTi4O8,TRUE
BaTiO3,FALSE
BaTl(MoO3)2,TRUE
BaTl3,TRUE
BaUSe3,FALSE
BaV2SeO8,FALSE
BaYb2O4,TRUE
BaYbSn3,TRUE
BaZn(MoO2)4,TRUE
BaZn5,TRUE
BaZnGeSe4,FALSE
BaZnSO,FALSE
BaZnSiSe4,FALSE
Be12Pt,TRUE
Be22Re,TRUE
Be2HgTe,TRUE
Be2W,TRUE
Be3N2,FALSE
Be3Sb2,FALSE
BeAlB,TRUE
BeCu,TRUE
BeFe2Si,TRUE
BeGaO3,TRUE
BeGaRh2,TRUE
BeO,FALSE
BePd2,TRUE
BePd3,TRUE
BeS,FALSE
BeSe,FALSE
BeSiOs2,TRUE
BeSiRu2,TRUE
BeTcSe,TRUE
BeTe,FALSE
Bi0.002Te0.003Pb0.999Se0.999,FALSE
Bi0.04Te0.06Pb0.98Se0.98,FALSE
Bi0.2Sb1.8Te3,FALSE
Bi0.2Te0.3Pb0.9Se0.9,FALSE
Bi0.4Sb1.6Te3,FALSE
Bi0.4Te0.6Pb0.8Se0.8,FALSE
Bi0.6Sb1.4Te3,FALSE
Bi1.4Sb0.6Te3,FALSE
Bi1.6Sb0.4Te3,FALSE
Bi1.8Sb0.2Te3,FALSE
Bi1.98Sb0.02Te3,FALSE
Bi12PO20,FALSE
Bi12Rh12O41,TRUE
Bi1Sb0.15,FALSE
Bi2(BO3)3,TRUE
Bi2(MoO4)3,FALSE
Bi2(PO4)3,TRUE
Bi24BO39,FALSE
Bi2AsClO4,FALSE
Bi2CO5,FALSE
Bi2I4O13,FALSE
Bi2Mo2Se2O13,FALSE
Bi2O3,FALSE
Bi2O5,TRUE
Bi2Pd3S2,TRUE
Bi2Pt,TRUE
Bi2S3,FALSE
Bi2SI2O11,FALSE
Bi2Se3,FALSE
Bi2SeI2O11,FALSE
Bi2Te0.03Se2.97,FALSE
Bi2Te0.1Se2.9,FALSE
Bi2Te0.3Se2.7,FALSE
Bi2Te0.45Se2.55,FALSE
Bi2Te0.4Se2.6,FALSE
Bi2Te0.6Se2.4,FALSE
Bi2Te0.9Se2.1,FALSE
Bi2Te1.2Se1.8,FALSE
Bi2Te1.5Se1.5,FALSE
Bi2Te2.1Se0.9,FALSE
Bi2Te2.4Se0.6,FALSE
Bi2Te2.7Se0.3,FALSE
Bi2Te2.97Se0.03,FALSE
Bi2Te2SO10,FALSE
Bi2Te2Se,FALSE
Bi2Te3,FALSE
Bi3BTeO9,FALSE
Bi3I4O13F3,FALSE
Bi3Se2NO11,FALSE
Bi4I,TRUE
Bi4Pb7Se13,FALSE
Bi4Pd(SeO3)4,FALSE
Bi5IO7,FALSE
Bi7O5F11,FALSE
Bi8Te7S5,FALSE
Bi9S6O7.5,FALSE
BiAs2Os,TRUE
BiBPbO4,FALSE
BiBr3,FALSE
BiBrO,FALSE
BiClO,FALSE
BiI3,FALSE
BiIO,FALSE
BiIO3F2,FALSE
BiO,TRUE
BiP3(PbO4)3,FALSE
BiPO4,FALSE
BiPb2S2I3,FALSE
BiPbBrO2,FALSE
BiPbClO2,FALSE
BiPd,TRUE
BiSBr,FALSE
BiSCl,FALSE
BiSI,FALSE
BiSbTe3,FALSE
BiSe,FALSE
BiSeBr,FALSE
BiSeI,FALSE
BiSeO3F,FALSE
BiTeI,FALSE
BiTeNO6,FALSE
CBr4,FALSE
CI4,FALSE
Ca(AgGe)2,TRUE
Ca(Al4Co)2,TRUE
Ca(AlZn)2,TRUE
Ca(BC)2,TRUE
Ca(BIr)2,TRUE
Ca(BiO2)2,FALSE
Ca(CoGe)2,TRUE
Ca(CoS2)4,TRUE
Ca(GdS2)2,FALSE
Ca(GeRh)2,TRUE
Ca(LaS2)2,FALSE
Ca(MnAs)2,TRUE
Ca(NdS2)2,FALSE
Ca(Ni2O3)2,TRUE
Ca(PrS2)2,FALSE
Ca(SiPd)2,TRUE
Ca(SmS2)2,FALSE
Ca(TiS2)4,TRUE
Ca10Ge16(B2O17)3,FALSE
Ca11Bi10,TRUE
Ca11Ga7,TRUE
Ca2Bi2O5,FALSE
Ca2CdAs2,FALSE
Ca2CdPb,TRUE
Ca2Co9O13,TRUE
Ca2CuWO6,TRUE
Ca2Ge,FALSE
Ca2GeN2,TRUE
Ca2Mn9O13,TRUE
Ca2MnAlO5,TRUE
Ca2NiIrO6,TRUE
Ca2Os2O7,TRUE
Ca2PbAu2,TRUE
Ca2ScSbO6,FALSE
Ca2Si,FALSE
Ca2SmTaO6,FALSE
Ca2Sn,FALSE
Ca2Sn2F3,TRUE
Ca2SnS4,FALSE
Ca2Ti9O13,TRUE
Ca2TlCd,TRUE
Ca2ZnRh,TRUE
Ca3(BN2)2,FALSE
Ca3(GaPt)2,TRUE
Ca3Al2Ge3,TRUE
Ca3Au,TRUE
Ca3Au4,TRUE
Ca3Bi(PO4)3,FALSE
Ca3BiAs,TRUE
Ca3BiSb,TRUE
Ca3Cu2(ClO2)2,TRUE
Ca3In,TRUE
Ca3La2(SnS4)3,FALSE
Ca3N2,FALSE
Ca3PbN,TRUE
Ca3Sb2,FALSE
Ca3SbN,TRUE
Ca3Sn2S7,TRUE
Ca3Ti2(SiO4)3,FALSE
Ca3TlN,TRUE
Ca3Zr17O37,TRUE
Ca4Al3O10,TRUE
Ca4Bi6O13,FALSE
Ca5(Bi7O13)2,FALSE
Ca5Au2,TRUE
Ca5B3O9F,FALSE
Ca5Ir,TRUE
Ca5Sb3,TRUE
Ca5Sn4S13,TRUE
Ca6Ag16N,TRUE
Ca6Cu2Sn7,TRUE
CaAgF5,TRUE
CaAu5,TRUE
CaB6,FALSE
CaCdPd2,TRUE
CaCdSi,TRUE
CaCu5,TRUE
CaEu2O3,TRUE
CaEuO2,TRUE
CaF2,FALSE
CaGa3Ni2,TRUE
CaGaAu3,TRUE
CaGaGe,TRUE
CaGe2,TRUE
CaHfZn,TRUE
CaHg2,TRUE
CaI2,FALSE
CaIn2Ir,TRUE
CaIn4Ir,TRUE
CaInAu,TRUE
CaInPt,TRUE
CaIrO3,TRUE
CaMg2N2,FALSE
CaMgSn,TRUE
CaMnSn,TRUE
CaNi5,TRUE
CaO,FALSE
CaOsO3,TRUE
CaPb,TRUE
CaPd3C,TRUE
CaPrZn2,TRUE
CaS,FALSE
CaSe,FALSE
CaSnO3,FALSE
CaTaNO2,FALSE
CaTe,FALSE
CaTi4O8,TRUE
CaTiO2,TRUE
CaVO2,TRUE
CaYbInSe4,TRUE
CaZn2,TRUE
CaZn3,TRUE
CaZn3Ni2,TRUE
CaZn5,TRUE
CaZnSO,FALSE
Cd(GaS2)2,FALSE
Cd(GaSe2)2,FALSE
Cd(In15Te23)2,FALSE
Cd(InS2)2,FALSE
Cd(InSe2)2,FALSE
Cd(InTe2)2,FALSE
Cd(PS2)2,FALSE
Cd0.01Ga0.99Sb0.99Te0.01,FALSE
Cd0.01Hg0.99Se1,FALSE
Cd0.01In0.99Te0.01As0.99,FALSE
Cd0.02In0.98Te0.02As0.98,FALSE
Cd0.03In0.97Te0.03As0.97,FALSE
Cd0.04In0.96Te0.04As0.96,FALSE
Cd0.05Ga0.95Sb0.95Te0.05,FALSE
Cd0.05In0.95Te0.05As0.95,FALSE
Cd0.06In0.94Te0.06As0.94,FALSE
Cd0.07In0.93Te0.07As0.93,FALSE
Cd0.1Ga0.9Sb0.9Te0.1,FALSE
Cd0.1Hg0.9Se1,FALSE
Cd0.1In0.9Te0.1As0.9,FALSE
Cd0.204Hg0.796Te1,FALSE
Cd0.23Hg0.77Te1,FALSE
Cd0.28Hg0.72Te1,FALSE
Cd0.2Ga0.8Sb0.8Te0.2,FALSE
Cd0.2Hg0.8Se1,FALSE
Cd0.2In2.4Ag0.4Te4,FALSE
Cd0.35Hg0.65Te1,FALSE
Cd0.37Hg0.63Te1,FALSE
Cd0.3Hg0.7Se1,FALSE
Cd0.3Hg0.7Te1,FALSE
Cd0.4Hg0.6Se1,FALSE
Cd0.5Hg0.5Se1,FALSE
Cd0.5In2.25Ag0.25Te4,FALSE
Cd0.5In2.2Ag0.4Te4,FALSE
Cd0.6Hg0.4Se1,FALSE
Cd0.75In2.1Ag0.2Te4,FALSE
Cd0.7Hg0.3Se1,FALSE
Cd0.8Hg0.2Se1,FALSE
Cd0.8In2.1Ag0.1Te4,FALSE
Cd0.99Ga0.01Sb0.01Te0.99,FALSE
Cd0.99Hg0.01Se1,FALSE
Cd0.9Hg0.1Se1,FALSE
Cd12Ge17(B4O29)2,FALSE
Cd13I28,TRUE
Cd1Hg6.5As4Cl6,FALSE
Cd1Se0.01S0.99,FALSE
Cd1Se0.2S0.8,FALSE
Cd1Se0.35S0.65,FALSE
Cd1Se0.45S0.55,FALSE
Cd1Se0.65S0.35,FALSE
Cd1Se0.99S0.01,FALSE
Cd2AgRh,TRUE
Cd2InAgTe3,FALSE
Cd2InCuTe3,FALSE
Cd2InCuTe4,FALSE
Cd2PbO4,TRUE
Cd3AgPS6,FALSE
Cd3As2,FALSE
Cd3Bi(PO4)3,FALSE
Cd3Bi2,FALSE
Cd3In2(Te2S)2,FALSE
Cd3P2,FALSE
Cd3Sb2,FALSE
Cd3Te2MoO10,FALSE
Cd4As2Br3,FALSE
Cd4As2I3,FALSE
Cd4P2Br3,FALSE
Cd4P2Cl3,FALSE
Cd4P2I3,FALSE
Cd4Sb2I3,FALSE
Cd4Sb3,FALSE
Cd5Ga2(Te3S)2,FALSE
Cd6P7,FALSE
Cd8B5O15F,FALSE
CdAg,TRUE
CdAg2(PS3)2,FALSE
CdAg2GeS4,FALSE
CdAs2,FALSE
CdAsPd5,TRUE
CdAuO2,TRUE
CdBiClO2,FALSE
CdBr2,FALSE
CdCl2,FALSE
CdCu(SeO3)2,FALSE
CdCu2GeS4,FALSE
CdCu2GeSe4,FALSE
CdCu2SnS4,FALSE
CdCu2SnSe4,FALSE
CdF2,FALSE
CdGeAs2,FALSE
CdGeP2,FALSE
CdHIO4,FALSE
CdHg4(AsI2)2,FALSE
CdHg6(As2Br3)2,FALSE
CdI2,FALSE
CdIClO3,FALSE
CdIn,FALSE
CdIn8Te13,FALSE
CdInCuSe3,FALSE
CdO,FALSE
CdP2,FALSE
